Algorithm,Flow,Throughput_avg (Mbps),Throughput_median (Mbps),Throughput_p99 (Mbps),CWND_avg,CWND_median,RTT_avg (ms),RTT_median (ms),RTT_var_avg (ms),Delivery_rate_avg (Mbps)
RENO,1,10.94,11.42,25.76,54.56,53.0,59.32,59.52,4.71,10.33
RENO,2,10.86,10.75,27.71,53.99,53.0,59.63,59.47,4.81,10.31
RENO,3,13.71,14.27,38.74,66.84,65.0,60.11,60.63,4.34,12.69
RENO,4,11.89,12.69,29.1,59.73,56.0,59.35,59.45,4.09,10.98
RENO,5,13.35,13.46,35.98,65.77,62.0,59.81,59.03,4.25,12.45
RENO,6,11.3,11.27,37.95,55.73,51.0,59.26,60.69,4.91,10.62
RENO,7,12.67,12.46,38.0,62.51,59.0,59.6,59.33,4.34,11.68
RENO,8,12.47,12.87,35.71,60.69,60.0,59.95,59.05,4.34,11.4
BBR,1,11.66,11.68,29.95,68.77,70.0,57.89,55.45,3.96,10.72
BBR,2,10.33,10.69,30.25,61.48,58.0,57.61,55.24,4.29,9.43
BBR,3,12.03,11.74,28.62,72.15,71.0,58.32,57.05,3.98,10.96
BBR,4,11.02,11.12,27.98,67.68,64.0,57.67,55.77,4.28,10.21
BBR,5,10.75,11.09,28.35,64.98,64.0,57.74,55.46,4.14,9.64
BBR,6,9.92,9.71,23.48,59.9,60.0,57.59,56.12,4.3,9.14
BBR,7,10.19,9.78,26.49,62.42,62.0,57.88,57.47,4.42,9.31
BBR,8,13.89,14.13,29.6,82.97,82.0,58.75,57.31,3.62,12.64
CUBIC,1,13.03,12.25,30.06,56.11,56.0,53.15,54.77,3.74,12.16
CUBIC,2,14.2,13.82,34.27,61.96,59.0,53.51,56.83,3.64,13.21
CUBIC,3,12.59,12.53,26.5,53.82,54.0,53.39,56.83,3.92,11.71
CUBIC,4,15.01,14.35,32.9,65.05,65.0,53.96,57.48,3.44,13.81
CUBIC,5,16.41,16.04,52.22,70.26,67.0,53.45,57.11,3.35,15.39
CUBIC,6,12.95,13.0,27.89,55.67,57.0,53.59,57.23,3.56,12.03
CUBIC,7,16.42,15.41,37.62,70.58,70.0,53.59,57.07,3.21,15.24
CUBIC,8,14.03,14.3,34.21,60.63,58.0,53.85,57.35,3.61,12.92
EXPO,1,14.43,13.43,38.68,70.17,69.0,59.7,60.45,3.72,13.36
EXPO,2,13.68,13.19,35.47,67.79,66.0,59.33,61.26,4.25,12.9
EXPO,3,13.98,12.46,39.49,67.5,66.0,59.84,61.03,3.92,12.95
EXPO,4,14.17,13.29,33.13,69.44,69.0,59.47,61.49,3.8,13.19
EXPO,5,14.04,13.13,38.85,69.08,66.5,59.8,61.42,3.91,13.01
EXPO,6,14.02,13.5,36.84,68.27,68.0,59.73,61.16,4.05,13.13
EXPO,7,14.12,12.8,35.62,68.59,67.5,59.75,61.26,3.87,13.13
EXPO,8,14.08,13.62,33.65,68.09,69.0,59.9,61.63,3.65,13.14
